,name,salary_from,salary_to,salary_currency,area_name,published_at
239,Токарь-универсал,60000.0,90000.0,RUR,Нижний Новгород,2022-12-23T08:43:22+0300
240,Инженер-технолог 1 категории,65000.0,,RUR,Москва,2022-12-23T11:14:18+0300
241,Специалист по информационной безопасности,70000.0,80000.0,RUR,Владивосток,2022-12-23T09:58:17+0300
242,Старший механик,53000.0,53000.0,RUR,Грахово,2022-12-23T10:42:22+0300
243,Электроник по ремонту и обслуживанию металлообрабатывающих станков с ЧПУ,40000.0,40000.0,RUR,Саратов,2022-12-23T08:21:58+0300
244,Ведущий специалист технической поддержки 2 линии (эксплуатация решений МТОиР),,,,Москва,2022-12-23T08:55:52+0300
245,Инженер-программист Directum,50000.0,,RUR,Пермь,2022-12-23T09:15:28+0300
246,Механик/аккумуляторщик,40500.0,,RUR,Самара,2022-12-23T10:18:21+0300
247,Дежурный инженер,,62000.0,RUR,Зеленоград,2022-12-23T11:22:06+0300
248,Ночной консультант службы поддержки пользователей,15600.0,39000.0,RUR,Новосибирск,2022-12-23T09:46:34+0300
249,Ведущий специалист информационной безопасности (ФЗ 152\ФЗ 187),,,,Москва,2022-12-23T10:43:07+0300
250,Инженер по расчетам и режимам,50000.0,,RUR,Москва,2022-12-23T09:43:41+0300
251,Программист 1C ERP,,,,Якутск,2022-12-23T09:58:46+0300
252,Специалист службы поддержки в Яндекс Станцию,13000.0,33800.0,RUR,Набережные Челны,2022-12-23T10:24:43+0300
253,Инженер-программист С#,90000.0,,RUR,Нижний Новгород,2022-12-23T08:46:22+0300
254,Токарь-расточник (5 разряд),,75000.0,RUR,Москва,2022-12-23T10:17:41+0300
255,"Менеджер по проектированию, г.Дзержинск (Нижегородская обл.)",,,,Нижний Новгород,2022-12-23T09:55:39+0300
256,Сервисный инженер (Принтеры/МФУ),10000.0,25000.0,RUR,Сочи,2022-12-23T10:15:31+0300
257,Аналитик SOC,,,,Москва,2022-12-23T10:24:23+0300
258,Программист 1С,,,,Сергиев Посад,2022-12-23T10:15:10+0300
259,Системный аналитик,,,,Москва,2022-12-23T11:25:29+0300
260,Программист 1С,60000.0,,RUR,Волжский (Волгоградская область),2022-12-23T07:24:35+0300
261,Техник-механик,30000.0,,RUR,Выборг,2022-12-23T09:32:31+0300
262,Механик,48400.0,63000.0,RUR,Анжеро-Судженск,2022-12-23T06:33:41+0300
263,Старший редактор,32000.0,35000.0,RUR,Волгоград,2022-12-23T09:18:45+0300
264,Токарь-универсал (5 разряд),70000.0,,RUR,Москва,2022-12-23T10:42:04+0300
265,Контролер технического состояния транспортных средств (ТС),40000.0,43000.0,RUR,Пермь,2022-12-23T06:30:15+0300
266,Senior/Lead Python-разработчик,,,,Кемерово,2022-12-23T07:57:28+0300
267,Фрезеровщик,,,,Фрязино,2022-12-23T11:03:35+0300
268,Механик горный службы по ремонту и эксплуатации,65000.0,75000.0,RUR,Белово,2022-12-23T09:26:45+0300
269,Специалист по ремонту банковского оборудования,60000.0,,RUR,Находка,2022-12-23T08:09:06+0300
270,Старший специалист отдела сетевой и серверной инфраструктуры,,,,Москва,2022-12-23T10:32:24+0300
271,Ведущий инженер-механик,39016.0,,RUR,Нижний Новгород,2022-12-23T09:15:58+0300
272,Фрезеровщик,46000.0,106000.0,RUR,Чехов,2022-12-23T10:53:49+0300
273,Токарь-универсал,50000.0,,RUR,Тольятти,2022-12-23T09:56:22+0300
274,Руководитель направления / Методолог (МСБ),,,,Екатеринбург,2022-12-23T10:26:44+0300
275,Дизайнер группы текстиль,,,,Москва,2022-12-23T11:07:29+0300
276,Наладчик станков с ЧПУ токарной группы,68000.0,,RUR,Москва,2022-12-23T10:19:03+0300
277,Инженер-механик (в г. Ханты-Мансийск),50000.0,,RUR,Омск,2022-12-23T07:20:50+0300
278,Программист 1С:ERP,,,,Екатеринбург,2022-12-23T09:35:34+0300
